Alticola argentatus,,,,,,,,,,,,,,,,,,,
Alticola barakshin,,,,,,,,,,,,,,,,,,,
Alticola lemminus,Eothenomys lemminus,,,,,,,,,,,,,,,,,,
Alticola macrotis,Alticola altaica,Alticola fetisovi,Alticola macrotis subspecies vicina,Alticola vinogradovi,,,,,,,,,,,,,,,
Alticola montosa,,,,,,,,,,,,,,,,,,,
Alticola olchonensis,Alticola baicalensis,,,,,,,,,,,,,,,,,,
Alticola roylei,,,,,,,,,,,,,,,,,,,
Alticola semicanus,Alticola alleni,,,,,,,,,,,,,,,,,,
Alticola stoliczkanus,Alticola stracheyi,,,,,,,,,,,,,,,,,,
Alticola strelzowi,Alticola strelzowi subspecies depressus,Alticola strelzowi subspecies desertorum,,,,,,,,,,,,,,,,,
Alticola tuvinicus,Alticola khubsugulensis,Alticola kosogol,,,,,,,,,,,,,,,,,
Amblysomus corriae,,,,,,,,,,,,,,,,,,,
Amblysomus hottentotus,Amblysomus iris,,,,,,,,,,,,,,,,,,
Amblysomus marleyi,,,,,,,,,,,,,,,,,,,
Amblysomus robustus,,,,,,,,,,,,,,,,,,,
Amblysomus septentrionalis,,,,,,,,,,,,,,,,,,,
Ametrida centurio,,,,,,,,,,,,,,,,,,,
Ammodillus imbellis,,,,,,,,,,,,,,,,,,,
Ammodorcas clarkei,,,,,,,,,,,,,,,,,,,
Ammospermophilus harrisii,,,,,,,,,,,,,,,,,,,
Ammospermophilus interpres,,,,,,,,,,,,,,,,,,,
Ammospermophilus leucurus,Ammospermophilus insularis,,,,,,,,,,,,,,,,,,
Ammospermophilus nelsoni,,,,,,,,,,,,,,,,,,,
Ammotragus lervia,,,,,,,,,,,,,,,,,,,
Amorphochilus schnablii,,,,,,,,,,,,,,,,,,,
Amphinectomys savamis,,,,,,,,,,,,,,,,,,,
Anathana ellioti,,,,,,,,,,,,,,,,,,,
Andalgalomys olrogi,Andalgalomys roigi,,,,,,,,,,,,,,,,,,
Andalgalomys pearsoni,,,,,,,,,,,,,,,,,,,
Andinomys edax,,,,,,,,,,,,,,,,,,,
